company_name,industry,business_description
北陸製菓株式会社,食品製造業,地元の素材を活かした和菓子・洋菓子の製造販売。特に米粉を使用した商品開発に強み。
金沢ITソリューションズ,情報技術サービス,地域企業向けのクラウドサービスとシステム開発。観光業向けデジタルマーケティングに特化。
石川木工芸,木工製品製造,伝統的な加賀指物の技術を活かした家具・インテリア製品の製造。
富山メディカルデバイス,医療機器製造,高精度な医療用センサーと小型医療機器の開発製造。
福井繊維工業,繊維製造業,高機能繊維素材の開発と製造。スポーツウェアや産業用資材向け製品に強み。
加賀電子部品,電子部品製造,車載用および産業用電子部品の製造。特に小型センサー技術に強み。
能登海洋食品,水産加工業,能登半島で獲れる魚介類を使った加工食品の製造。冷凍技術による鮮度保持に注力。
白山自然エネルギー,再生可能エネルギー,小水力発電と地熱発電システムの開発・運営。地域密着型エネルギー供給に取り組む。
金沢伝統工芸,伝統工芸品製造,金箔工芸品や九谷焼などの伝統工芸品製造。現代的なデザインとの融合に取り組む。
富山薬品研究所,製薬業,漢方薬と植物由来成分を活用した健康食品・化粧品の研究開発。
福井眼鏡フレーム,眼鏡製造業,チタン素材を使用した高品質眼鏡フレームの製造。軽量で耐久性の高い製品開発。
石川農産物加工,農産物加工業,地元農産物を使った加工食品の製造。無添加・有機栽培素材にこだわる。
北陸観光サービス,観光業,北陸三県の観光資源を活かした体験型ツアーの企画運営。インバウンド観光に注力。
富山精密機械,精密機械製造,高精度な工作機械部品と医療機器部品の製造。微細加工技術に強み。
福井デジタルファブリック,テキスタイルデザイン,デジタル技術を活用した新しい織物デザインと製造。サステナブル素材の開発。
金沢建築設計事務所,建築設計,伝統的な日本建築と現代デザインを融合させた建築設計。古民家再生プロジェクトに実績。
能登ワイナリー,酒造業,能登半島の気候を活かしたワイン製造。地元農家と連携した葡萄栽培。
立山物流システム,物流サービス,北陸地方の中小企業向け共同物流サービス。環境負荷低減型の配送システム構築。
加賀温泉旅館協同組合,宿泊業,加賀温泉郷の旅館・ホテルの共同予約システム運営と地域観光振興活動。
福井ソーラーテック,太陽光発電,住宅・事業所向け太陽光発電システムの設計・施工。蓄電システムとの連携に強み。
石川県産木材活用センター,林業・木材加工,県産材の有効活用と木材製品の開発支援。サステナブル建材の普及促進。
富山湾漁業組合,漁業,富山湾の定置網漁業と水産資源の持続可能な管理。ブランド魚の販売促進。
福井健康食品,健康食品製造,地元農産物を活用した機能性食品の開発製造。特に発酵食品に強み。
金沢伝統料理研究所,飲食業,加賀料理の伝統を継承しつつ現代的にアレンジした料理の研究と飲食店経営。
富山アルミ工業,金属加工業,アルミニウム合金の高度加工技術による建材・部品製造。軽量高強度製品に特化。
越前和紙工芸,紙製品製造,伝統的な越前和紙の製造と現代的な紙製品への応用。アート作品や高級文具開発。
能登有機農業,有機農業,能登の里山で行う有機農法による野菜・穀物栽培。環境保全型農業の普及活動。
金沢デジタルコンテンツ,デジタルコンテンツ制作,伝統工芸や文化財のデジタルアーカイブ化と観光コンテンツ制作。AR/VR技術活用。
富山創薬ベンチャー,バイオテクノロジー,天然由来成分を活用した新薬開発。特に抗炎症作用のある化合物研究。
福井スマートテキスタイル,スマートテキスタイル,センサー機能を持つ繊維素材の開発と製品化。ヘルスケア・スポーツ分野向け。
石川県伝統食品保存会,食品製造業,加賀・能登地方の伝統的な発酵食品や保存食の製造技術継承と商品開発。
立山クラフトビール,醸造業,立山連峰の天然水を使用したクラフトビールの醸造。地元農産物を活用したビール開発。
越前漆器産業,漆器製造,伝統的な越前漆器の製造と現代的なデザイン漆器の開発。海外展開にも注力。
金沢IoTソリューションズ,IoT開発,地域産業向けIoTデバイスとシステム開発。製造業のスマート化支援。
富山県産品マーケティング,卸売業,富山県産品の国内外へのマーケティングと販路開拓支援。ECプラットフォーム運営。
福井繊維リサイクル,リサイクル業,繊維製品のリサイクル技術開発と再生繊維製品の製造。サーキュラーエコノミー推進。
能登海洋深層水,飲料製造業,能登半島沖の海洋深層水を活用した飲料・食品・化粧品の製造。
金沢伝統工芸デザイン研究所,デザイン業,伝統工芸技術と現代デザインの融合による新商品開発支援。若手職人育成。
富山県産薬用植物研究会,農業・製薬,薬用植物の栽培研究と漢方原料の安定供給体制構築。
福井眼鏡技術センター,研究開発,最先端の眼鏡フレーム素材と製造技術の研究開発。産学連携プロジェクト推進。
石川観光体験プラットフォーム,観光サービス,北陸地方の体験型観光コンテンツのオンライン予約システム運営。
立山環境技術研究所,環境技術,水質浄化技術と廃棄物リサイクル技術の研究開発。地域環境保全ソリューション提供。
加賀友禅工房,染色業,伝統的な加賀友禅の技法による染色品製造。現代的なファッションアイテムへの応用。
福井スマートアグリ,農業技術,ICT技術を活用した施設園芸システムの開発と運営。省力化・高収益型農業の実現。
富山湾水産研究所,水産研究,富山湾の水産資源調査と養殖技術開発。持続可能な漁業モデル構築。
金沢伝統菓子協会,菓子製造業,金沢の伝統的な和菓子の製造技術継承と新商品開発。観光土産品の品質向上。
能登里山デザイン,景観設計,能登の里山里海の景観を活かした観光施設・公共空間のデザイン設計。
福井県産材家具工房,家具製造,県産材を活用した高品質家具の設計・製造。サステナブルデザインに注力。
富山伝統医薬研究所,製薬研究,富山の置き薬伝統を継承した現代的な医薬品研究開発。セルフメディケーション推進。
石川クラフトビール醸造所,飲料製造業,地元農産物を活用したクラフトビールの醸造と販売。醸造体験ツアーも運営。
越前和紙デザインラボ,紙製品デザイン,伝統的な越前和紙を使用した現代的なプロダクトデザインと製造。
金沢フードテック,食品技術,伝統食材と先端技術を組み合わせた新しい食品開発。代替タンパク質研究にも注力。
富山精密光学,光学機器製造,高精度レンズと光学部品の製造。医療機器・計測機器向け部品に強み。
福井繊維デザインセンター,テキスタイルデザイン,先進的な繊維素材とデザインの研究開発。ファッション産業支援。
能登スローフード協会,食品製造業,能登の伝統的な食材と調理法を活かした食品開発と食文化継承活動。
石川県伝統工芸イノベーション,工芸品製造,伝統工芸技術とデジタル技術の融合による新しい工芸品開発。
立山自然エネルギー研究所,再生可能エネルギー,山岳地域に適した小規模水力・風力発電システムの研究開発と実証実験。
福井海洋バイオマス,バイオマスエネルギー,海藻類を活用したバイオマスエネルギー生産技術の研究開発。
金沢伝統建築保存会,建築業,金沢の歴史的建造物の保存修復技術研究と実践。伝統建築技術の継承。
富山薬用植物栽培,農業,薬用植物の有機栽培と加工品製造。漢方原料の国産化推進。
越前焼窯元協同組合,陶磁器製造,伝統的な越前焼の製造と現代的なデザイン陶磁器の開発。
能登ワイン観光,観光農業,ワイン用ブドウ栽培とワイナリー見学・体験プログラムの運営。
金沢デジタルファブリケーション,デジタル製造,3Dプリンティング技術を活用した伝統工芸品の新しい製造方法の研究開発。
富山バイオ医薬品,製薬業,バイオテクノロジーを活用した医薬品・健康食品の研究開発と製造。
福井スマートテキスタイル研究所,繊維研究,ウェアラブルデバイスと繊維の融合技術研究。医療・スポーツ分野応用。
石川県産食材加工センター,食品加工業,県産農水産物の高付加価値加工技術開発と製品化支援。
立山天然水,飲料製造業,立山連峰の天然水を活用したミネラルウォーターと飲料製造。
加賀野菜ブランド協会,農業,加賀伝統野菜の栽培振興と加工品開発。食文化継承と観光資源化。
福井古民家再生プロジェクト,建築業,県内の古民家を再生し宿泊施設・カフェなどに転用する事業。地域活性化に貢献。
富山湾深層水研究所,海洋資源研究,海洋深層水の特性研究と食品・化粧品・医薬品への応用開発。
金沢工芸デジタルアーカイブ,デジタルアーカイブ,金沢の伝統工芸技術のデジタル記録と保存。技術継承と教育活用。
能登スマート農業,農業技術,過疎地域での持続可能な農業モデル構築。IoT技術活用による省力化。
越前漆器デザイン研究所,漆器デザイン,伝統的な漆器技術と現代デザインの融合による新商品開発。
富山創薬イノベーション,製薬研究,和漢薬研究を基盤とした新薬開発と健康食品研究。
福井繊維リサイクルテック,リサイクル技術,繊維製品の高度リサイクル技術開発と環境配慮型製品製造。
石川県酒造組合,酒造業,県内の日本酒醸造所の連携組織。共同マーケティングと技術研究。
立山クリーンエネルギー,エネルギーサービス,地域資源を活用した再生可能エネルギー発電と供給サービス。
加賀温泉デジタルマーケティング,観光マーケティング,温泉地のデジタルマーケティングと予約システム運営。データ分析による観光戦略立案。
福井スマートシティプロジェクト,都市開発,ICT技術を活用した地方都市の課題解決モデル構築。コンパクトシティ推進。
富山伝統薬方研究会,漢方研究,富山の伝統的な配置薬の処方研究と現代的な健康商品開発。
金沢クラフトビール協会,飲料製造業,地域の醸造所連携による共同ブランディングと販路開拓。醸造技術研究。
能登海洋資源活用センター,海洋資源研究,能登半島周辺の海洋資源調査と持続可能な利用方法の研究開発。
越前和紙産業組合,紙製品製造,伝統的な越前和紙の製造者連携組織。共同マーケティングと技術継承。
石川県産材住宅推進協会,住宅建設,県産材を活用した木造住宅の設計・施工と普及活動。
富山医薬品ベンチャー,製薬業,創薬ベンチャー企業。特に生活習慣病治療薬の研究開発に注力。
福井繊維産業クラスター,繊維産業支援,県内繊維関連企業の連携促進と新事業創出支援。人材育成も行う。
金沢伝統工芸品輸出促進協会,貿易業,金沢の伝統工芸品の海外展開支援と輸出促進活動。
能登里海保全活動,環境保全,能登の里海環境保全と持続可能な漁業推進。エコツーリズム開発。
立山山岳観光協会,観光業,立山黒部アルペンルートを中心とした山岳観光の振興と環境保全活動。
越前カニブランド推進協議会,水産業,越前ガニのブランド価値向上と持続可能な漁業推進。観光資源としての活用。
福井眼鏡輸出組合,貿易業,福井産眼鏡フレームの海外展開支援と国際見本市出展調整。
富山薬用植物栽培研究会,農業研究,薬用植物の栽培技術研究と普及活動。漢方原料の国内生産拡大。
金沢伝統工芸デジタルマーケティング,マーケティング,伝統工芸品のオンライン販売戦略立案とECプラットフォーム運営。
能登SDGs推進協議会,地域開発,能登地域の持続可能な発展モデル構築と実践活動。環境・社会・経済の調和。
石川県産食材レストラン協会,飲食業,県産食材を積極的に活用するレストランのネットワーク。食材の共同調達も実施。
福井繊維技術センター,繊維研究,先端繊維素材の研究開発と製品化支援。産学官連携プロジェクト推進。
富山伝統医薬品製造,製薬業,伝統的な配置薬製造技術を継承した医薬品・健康食品製造。
加賀野菜加工食品,食品製造業,加賀伝統野菜を使用した加工食品の製造販売。保存技術の研究開発。
能登塩田,塩製造業,能登の伝統的な揚げ浜式製塩法による天然塩の製造。食品加工品も展開。
